test_id,engine_score,vader_score,textblob_score,bert_score,content_length
Pandas_LongTerm,6.0,5.5,5.5,5.5,59
Pandas_LongTerm,6.0,4.26,6.062,5.5,176
Pandas_LongTerm,6.0,5.722,5.388,1.0,1129
Pandas_LongTerm,6.0,1.761,5.725,3.25,587
Pandas_LongTerm,6.0,5.038,6.525,5.5,287
Pandas_LongTerm,6.0,8.137,6.588,1.0,517
Pandas_LongTerm,6.0,5.5,5.05,7.75,218
Pandas_LongTerm,6.0,9.792,6.194,5.5,355
Pandas_LongTerm,6.0,8.161,6.125,5.5,90
Pandas_LongTerm,6.0,6.518,6.625,5.5,319
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,8.601,5.43,1.0,1435
Pandas_LongTerm,6.0,5.5,5.5,5.5,153
Pandas_LongTerm,6.0,9.262,6.456,5.5,455
Pandas_LongTerm,6.0,5.5,5.5,1.0,99
Pandas_LongTerm,6.0,6.583,5.5,5.5,307
Pandas_LongTerm,6.0,5.404,5.151,5.5,736
Pandas_LongTerm,6.0,4.284,5.677,3.25,756
Pandas_LongTerm,6.0,6.791,7.375,5.5,117
Pandas_LongTerm,6.0,7.798,3.25,1.0,161
Pandas_LongTerm,6.0,3.875,4.488,3.25,211
Pandas_LongTerm,6.0,8.449,6.288,5.5,572
Pandas_LongTerm,6.0,2.803,4.356,3.25,306
Pandas_LongTerm,6.0,5.945,5.722,7.75,939
Pandas_LongTerm,6.0,9.242,4.544,3.25,479
Pandas_LongTerm,6.0,9.039,5.886,3.25,796
Pandas_LongTerm,6.0,5.5,7.75,1.0,114
Pandas_LongTerm,6.0,8.197,6.069,3.25,357
Pandas_LongTerm,6.0,8.362,5.125,1.0,152
Pandas_LongTerm,6.0,5.5,5.5,1.0,153
Pandas_LongTerm,6.0,4.428,4.6,5.5,230
Pandas_LongTerm,6.0,9.735,6.646,7.75,511
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,7.055,6.325,7.75,424
Pandas_LongTerm,6.0,9.437,6.062,5.5,552
Pandas_LongTerm,6.0,8.693,7.262,10.0,83
Pandas_LongTerm,6.0,9.771,5.494,1.0,1153
Pandas_LongTerm,6.0,8.88,5.331,1.0,778
Pandas_LongTerm,6.0,9.838,5.175,5.5,468
Pandas_LongTerm,6.0,8.943,7.075,7.75,137
Pandas_LongTerm,6.0,6.474,4.938,5.5,1241
Pandas_LongTerm,6.0,7.273,5.5,1.0,78
Pandas_LongTerm,6.0,9.693,6.246,7.75,416
Pandas_LongTerm,6.0,3.202,5.556,5.5,404
Pandas_LongTerm,6.0,8.669,7.143,5.5,903
Pandas_LongTerm,6.0,9.084,5.837,3.25,706
Pandas_LongTerm,6.0,9.52,5.837,1.0,1006
Pandas_LongTerm,6.0,5.5,7.75,1.0,91
Pandas_LongTerm,6.0,7.03,5.05,5.5,238
Pandas_LongTerm,6.0,8.609,6.55,7.75,364
Pandas_LongTerm,6.0,7.482,6.177,1.0,196
Pandas_LongTerm,6.0,9.133,6.925,5.5,312
Pandas_LongTerm,6.0,8.693,4.375,3.25,179
Pandas_LongTerm,6.0,9.248,6.38,3.25,499
Pandas_LongTerm,6.0,6.073,5.711,5.5,2411
Pandas_LongTerm,6.0,7.639,6.25,7.75,361
Pandas_LongTerm,6.0,9.334,5.862,5.5,1407
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,8.275,5.87,1.0,809
Pandas_LongTerm,6.0,1.638,4.417,5.5,1035
Pandas_LongTerm,6.0,8.564,6.85,3.25,253
Pandas_LongTerm,6.0,6.18,6.062,5.5,96
Pandas_LongTerm,6.0,7.945,5.865,5.5,167
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,7.723,7.188,10.0,27
Pandas_LongTerm,6.0,7.864,5.35,7.75,267
Pandas_LongTerm,6.0,8.771,6.49,1.0,337
Pandas_LongTerm,6.0,8.444,7.3,5.5,119
Pandas_LongTerm,6.0,7.404,5.185,7.75,621
Pandas_LongTerm,6.0,7.792,7.262,10.0,69
K8s_Strict_Large,6.0,7.482,6.002,7.75,228
K8s_Strict_Large,6.0,8.564,5.899,5.5,566
K8s_Strict_Large,6.0,9.224,5.724,7.75,551
Pandas_LongTerm,7.0,9.161,6.737,5.5,181
Pandas_LongTerm,7.0,9.316,7.131,7.75,134
Pandas_LongTerm,7.0,7.482,5.922,5.5,267
Pandas_LongTerm,7.0,9.443,6.662,7.75,426
Pandas_LongTerm,7.0,5.773,5.118,5.5,1750
Pandas_LongTerm,7.0,9.296,7.375,1.0,255
Pandas_LongTerm,7.0,9.179,6.675,7.75,383
Pandas_LongTerm,7.0,7.397,5.8,7.75,233
